           1           1   11.3314838       17.9972267    
           1           2   11.3314838       20.9972267    
           1           3   11.3314838       25.9972267    
           1           4   11.3314838       32.9972267    
           1           5   11.3314838       41.9972267    
           1           6   11.3314838       52.9972267    
           1           7   11.3314838       65.9972229    
           1           8   11.3314838       80.9972229    
           1           9   11.3314838       97.9972229    
           1          10   11.3314838       116.997223    
           2           1   12.8402538       20.2603817    
           2           2   12.8402538       23.2603817    
           2           3   12.8402538       28.2603817    
           2           4   12.8402538       35.2603836    
           2           5   12.8402538       44.2603836    
           2           6   12.8402538       55.2603836    
           2           7   12.8402538       68.2603836    
           2           8   12.8402538       83.2603836    
           2           9   12.8402538       100.260384    
           2          10   12.8402538       119.260384    
           3           1   14.5499144       22.8248711    
           3           2   14.5499144       25.8248711    
           3           3   14.5499144       30.8248711    
           3           4   14.5499144       37.8248711    
           3           5   14.5499144       46.8248711    
           3           6   14.5499144       57.8248711    
           3           7   14.5499144       70.8248749    
           3           8   14.5499144       85.8248749    
           3           9   14.5499144       102.824875    
           3          10   14.5499144       121.824875    
           4           1   16.4872131       25.7308178    
           4           2   16.4872131       28.7308178    
           4           3   16.4872131       33.7308197    
           4           4   16.4872131       40.7308197    
           4           5   16.4872131       49.7308197    
           4           6   16.4872131       60.7308197    
           4           7   16.4872131       73.7308197    
           4           8   16.4872131       88.7308197    
           4           9   16.4872131       105.730820    
           4          10   16.4872131       124.730820    
           5           1   18.6824589       29.0236893    
           5           2   18.6824589       32.0236893    
           5           3   18.6824589       37.0236893    
           5           4   18.6824589       44.0236893    
           5           5   18.6824589       53.0236893    
           5           6   18.6824589       64.0236893    
           5           7   18.6824589       77.0236893    
           5           8   18.6824589       92.0236893    
           5           9   18.6824589       109.023689    
           5          10   18.6824589       128.023682    
           6           1   21.1700020       32.7550011    
           6           2   21.1700020       35.7550011    
           6           3   21.1700020       40.7550011    
           6           4   21.1700020       47.7550011    
           6           5   21.1700020       56.7550011    
           6           6   21.1700020       67.7550049    
           6           7   21.1700020       80.7550049    
           6           8   21.1700020       95.7550049    
           6           9   21.1700020       112.755005    
           6          10   21.1700020       131.755005    
           7           1   23.9887524       36.9831276    
           7           2   23.9887524       39.9831276    
           7           3   23.9887524       44.9831276    
           7           4   23.9887524       51.9831276    
           7           5   23.9887524       60.9831276    
           7           6   23.9887524       71.9831238    
           7           7   23.9887524       84.9831238    
           7           8   23.9887524       99.9831238    
           7           9   23.9887524       116.983124    
           7          10   23.9887524       135.983124    
           8           1   27.1828175       41.7742271    
           8           2   27.1828175       44.7742271    
           8           3   27.1828175       49.7742271    
           8           4   27.1828175       56.7742271    
           8           5   27.1828175       65.7742310    
           8           6   27.1828175       76.7742310    
           8           7   27.1828175       89.7742310    
           8           8   27.1828175       104.774231    
           8           9   27.1828175       121.774231    
           8          10   27.1828175       140.774231    
           9           1   30.8021698       47.2032547    
           9           2   30.8021698       50.2032547    
           9           3   30.8021698       55.2032547    
           9           4   30.8021698       62.2032547    
           9           5   30.8021698       71.2032547    
           9           6   30.8021698       82.2032547    
           9           7   30.8021698       95.2032547    
           9           8   30.8021698       110.203255    
           9           9   30.8021698       127.203255    
           9          10   30.8021698       146.203247    
          10           1   34.9034271       53.3551445    
          10           2   34.9034271       56.3551445    
          10           3   34.9034271       61.3551445    
          10           4   34.9034271       68.3551483    
          10           5   34.9034271       77.3551483    
          10           6   34.9034271       88.3551483    
          10           7   34.9034271       101.355148    
          10           8   34.9034271       116.355148    
          10           9   34.9034271       133.355148    
          10          10   34.9034271       152.355148    
